2026-09-07 01:33:08 [INFO] Starting read-only 10-bit inspection; source=E:\torrents\final_organized
2026-09-07 01:33:08 [INFO] ===============================================================================
2026-09-07 01:33:08 [INFO] HANDBRAKE BIT-DEPTH INSPECTOR
2026-09-07 01:33:08 [INFO] ===============================================================================
2026-09-07 01:33:08 [INFO] Library   : E:\torrents\final_organized
2026-09-07 01:33:08 [INFO] Workers   : 8
2026-09-07 01:33:08 [INFO] Min size  : 0 MB
2026-09-07 01:33:08 [INFO] ffprobe   : C:\Users\bensm\AppData\Local\Microsoft\WinGet\Links\ffprobe.EXE
2026-09-07 01:33:08 [INFO] Log       : E:\torrents\tools\ReportsAndLogs\10bit\10bit.log
2026-09-07 01:33:08 [INFO] Report    : E:\torrents\tools\ReportsAndLogs\10bit\10bit_report.txt
2026-09-07 01:33:08 [INFO] 
2026-09-07 01:33:08 [INFO] Found 381 canonical MKV movie file(s).
2026-09-07 01:33:08 [INFO] Probe cache: E:\torrents\tools\ReportsAndLogs\state.db (0 entries loaded)
2026-09-07 01:33:08 [INFO] [1/381] SKIP-SDR  21 Jump Street (2012).mkv
2026-09-07 01:33:08 [INFO] [2/381] SKIP-SDR  2001 - A Space Odyssey (1968).mkv
2026-09-07 01:33:08 [INFO] [3/381] SKIP-SDR  13 Hours - The Secret Soldiers of Benghazi (2016).mkv
2026-09-07 01:33:08 [INFO] [4/381] SKIP-SDR  10 Cloverfield Lane (2016).mkv
2026-09-07 01:33:08 [INFO] [5/381] SKIP-SDR  1917 (2019).mkv
2026-09-07 01:33:08 [INFO] [6/381] SKIP-SDR  22 Jump Street (2014).mkv
2026-09-07 01:33:08 [INFO] [7/381] SKIP-SDR  10 Things I Hate About You (1999).mkv
2026-09-07 01:33:08 [INFO] [8/381] SKIP-SDR  12 Years a Slave (2013).mkv
2026-09-07 01:33:08 [INFO] [9/381] SKIP-SDR  A Beautiful Mind (2001).mkv
2026-09-07 01:33:08 [INFO] [10/381] SKIP-SDR  A Christmas Story (1983).mkv
2026-09-07 01:33:08 [INFO] [11/381] SKIP-SDR  300 (2006).mkv
2026-09-07 01:33:08 [INFO] [12/381] SKIP-SDR  500 Days of Summer (2009).mkv
2026-09-07 01:33:08 [INFO] [13/381] SKIP-SDR  9 (2009).mkv
2026-09-07 01:33:08 [INFO] [14/381] SKIP-SDR  8 Mile (2002).mkv
2026-09-07 01:33:08 [INFO] [15/381] SKIP-SDR  42 (2013).mkv
2026-09-07 01:33:08 [INFO] [16/381] SKIP-SDR  50 First Dates (2004).mkv
2026-09-07 01:33:08 [INFO] [17/381] SKIP-SDR  Air (2023).mkv
2026-09-07 01:33:08 [INFO] [18/381] SKIP-SDR  A I Artificial Intelligence (2001).mkv
2026-09-07 01:33:08 [INFO] [19/381] SKIP-SDR  Aladdin (1992).mkv
2026-09-07 01:33:08 [INFO] [20/381] SKIP-SDR  A Quiet Place Part II (2021).mkv
2026-09-07 01:33:08 [INFO] [21/381] SKIP-SDR  Accepted (2006).mkv
2026-09-07 01:33:08 [INFO] [22/381] KEEP-HDR  Alien (1979).mkv
